id,district_code
school-41181,lgaa5101cb3dc0e
school-41182,lga09dd4fbbc477
school-41183,lga7aa37c79c7ff
school-41184,lga605d8cdb0eb8
school-41185,lgac6194db78942
school-41186,lga605d8cdb0eb8
school-41187,lgacf41226610f4
school-41188,lga2e3aa047bd58
school-41189,lgaa5101cb3dc0e
school-41190,lgaa5101cb3dc0e
school-41191,lgac6194db78942
school-41192,lga2e3aa047bd58
school-41193,lga695a89c7b19b
school-41194,lga8f7ed7c51d73
school-41195,lgaef8006a5824e
school-41196,lga8f7ed7c51d73
school-41197,lga4ab258f19347
school-41198,lga8f7ed7c51d73
school-41199,lga8f7ed7c51d73
school-41200,lgaf99ae76baba3
school-41201,lga8f7ed7c51d73
school-41202,lga4ab258f19347
school-41203,lga570242050fb9
school-41204,lgae04a9b8beff3
school-41205,lga8f7ed7c51d73
school-41206,lga4ab258f19347
school-41207,lgae04a9b8beff3
school-41208,lga5971dfaf3433
school-41209,lga5971dfaf3433
school-41210,lga20e7710cab71
school-41211,lga4ab258f19347
school-41212,lga8f7ed7c51d73
school-41213,lga20e7710cab71
school-41214,lgae04a9b8beff3
school-41215,lga8f7ed7c51d73
school-41216,lga83ebf8381de8
school-41217,lga4ab258f19347
school-41218,lgae04a9b8beff3
school-41219,lgaf99ae76baba3
school-41220,lgae04a9b8beff3
school-41221,lga83ebf8381de8
school-41222,lga539121ae6aa1
school-41223,lga539121ae6aa1
school-41224,lga4ab258f19347
