id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
school-42298,school,Telegraph Point Public School,"Telegraph Point, NSW, 2441",2441,-31.33416791,152.79419405,lga18e02c07dc3d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Port Macquarie-Hastings""}",True
school-42299,school,Terranora Public School,"Terranora, NSW, 2486",2486,-28.240248,153.499272,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Major Cities"", ""lga_name"": ""Tweed""}",True
school-42300,school,Tinonee Public School,"Tinonee, NSW, 2430",2430,-31.93309107,152.41413,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42301,school,Main Arm Upper Public School,"Upper Main Arm, NSW, 2482",2482,-28.498479,153.41241,lga123b323d59f1,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Byron""}",True
school-42302,school,Tregeagle Public School,"Tregeagle, NSW, 2480",2480,-28.854095,153.354412,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42303,school,Tucabia Public School,"Tucabia, NSW, 2462",2462,-29.666698,153.106575,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42304,school,Tumbulgum Public School,"Tumbulgum, NSW, 2490",2490,-28.273997,153.463358,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Major Cities"", ""lga_name"": ""Tweed""}",True
school-42306,school,Tweed Heads Public School,"Tweed Heads, NSW, 2485",2485,-28.16951,153.541571,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Major Cities"", ""lga_name"": ""Tweed""}",True
school-42307,school,Tyalgum Public School,"Tyalgum, NSW, 2484",2484,-28.354475,153.204978,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Tweed""}",True
school-42308,school,Uki Public School,"Uki, NSW, 2484",2484,-28.415027,153.334263,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Tweed""}",True
school-42309,school,Ulmarra Public School,"Ulmarra, NSW, 2462",2462,-29.629006,153.030932,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42310,school,Ulong Public School,"Ulong, NSW, 2450",2450,-30.243019,152.884857,lga14af0b5e48b8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Coffs Harbour""}",True
school-42311,school,Urbenville Public School,"Urbenville, NSW, 2475",2475,-28.47348,152.545565,lga7872e04f6637,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Tenterfield""}",True
school-42312,school,Urunga Public School,"Urunga, NSW, 2455",2455,-30.495206,153.020428,lgab59cd333b8fb,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Bellingen""}",True
school-42313,school,Wardell Public School,"Wardell, NSW, 2477",2477,-28.950252,153.468779,lgacd5e92fad2d8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Ballina""}",True
school-42314,school,Wauchope Public School,"Wauchope, NSW, 2446",2446,-31.455935,152.729534,lga18e02c07dc3d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Port Macquarie-Hastings""}",True
school-42315,school,Wiangaree Public School,"Wiangaree, NSW, 2474",2474,-28.511356,152.965535,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kyogle""}",True
school-42316,school,Willawarrin Public School,"Willawarrin, NSW, 2440",2440,-30.925714,152.625518,lga4774a2311524,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Kempsey""}",True
school-42317,school,Wilsons Creek Public School,"Mullumbimby, NSW, 2482",2482,-28.570833,153.426178,lga123b323d59f1,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Byron""}",True
school-42318,school,Wollongbar Public School,"Wollongbar, NSW, 2477",2477,-28.82699,153.420113,lgacd5e92fad2d8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Ballina""}",True
school-42319,school,Woodburn Public School,"Woodburn, NSW, 2472",2472,-29.07539,153.339292,lgaf047d6867b53,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Richmond Valley""}",True
school-42320,school,Woodenbong Central School,"Woodenbong, NSW, 2476",2476,-28.389728,152.610148,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Kyogle""}",True
school-42321,school,Woolgoolga Public School,"Woolgoolga, NSW, 2456",2456,-30.112673,153.196501,lga14af0b5e48b8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Coffs Harbour""}",True
school-42322,school,Wyrallah Public School,"Wyrallah, NSW, 2480",2480,-28.890407,153.305718,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42323,school,Yamba Public School,"Yamba, NSW, 2464",2464,-29.439524,153.353157,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42324,school,Pottsville Beach Public School,"Pottsville, NSW, 2489",2489,-28.377625,153.567798,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Major Cities"", ""lga_name"": ""Tweed""}",True
school-42325,school,Scotts Head Public School,"Scotts Head, NSW, 2447",2447,-30.749941,152.995226,lgab9f1c7ce8f4c,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Nambucca Valley""}",True
school-42327,school,Stuarts Point Public School,"Stuarts Point, NSW, 2441",2441,-30.818842,152.993686,lga4774a2311524,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kempsey""}",True
school-42328,school,Upper Coopers Creek Public School,"Upper Coopers Creek, NSW, 2482",2482,-28.607149,153.401937,lga123b323d59f1,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Byron""}",True
school-42330,school,Wyrallah Road Public School,"Lismore, NSW, 2480",2480,-28.830301,153.293261,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42331,school,Taree West Public School,"Taree, NSW, 2430",2430,-31.907599,152.444547,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42332,school,Maclean Public School,"Maclean, NSW, 2463",2463,-29.457217,153.201309,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42333,school,Chatham Public School,"Taree, NSW, 2430",2430,-31.899751,152.482235,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42334,school,Kingscliff Public School,"Kingscliff, NSW, 2487",2487,-28.259375,153.579497,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Major Cities"", ""lga_name"": ""Tweed""}",True
